Compound,SMILES,RT,Signal,Concentration,Concentration_sample,Type,ISTD_response,Sample_type,Sample_name,mz,MW,IC
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,76370120,25,18.172,Target Compound,346579735,Cal Std,STD_19_(25_ng/L),197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,147102306,50,42.836999999999996,Target Compound,278298929,Cal Std,STD_20_(50_ng/L),197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,312970793,100,83.582,Target Compound,301596053,Cal Std,STD_21_(100_ng/L),197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,788076130,250,224.70899999999997,Target Compound,281331416,Cal Std,STD_22_(250_ng/L),197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,1646246962,500,493.107,Target Compound,267459745,Cal Std,STD_23_(500_ng/L),197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,NA,1000,1106.07,Target Compound,209939119,Cal Std,STD_24_(1000_ng/L),197.084,196.677,148.08087648294043
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,9106918,5,8.839,Target Compound,416346948,Cal Std,STD4(5ng/L),287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,14021897,10,10.864,Target Compound,407628835,Cal Std,STD5(10ng/L),287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,55996829,25,27.039,Target Compound,416431914,Cal Std,STD6(25ng/L),287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,82624965,50,39.618,Target Compound,389218603,Cal Std,STD7(50ng/L),287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,245219015,100,111.395,Target Compound,373618394,Cal Std,STD8(100ng/L),287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,559959999,250,270.399,Target Compound,341436527,Cal Std,STD9(250ng/L),287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,1050912749,500,573.044,Target Compound,299207155,Cal Std,STD10(500ng/L),287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,1698724414,1000,1096.752,Target Compound,251579250,Cal Std,STD11(1000ng/L),287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,11473215,NA,8.767999999999999,Target Compound,535358189,Cal Std,STD12(10ng/L),287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,7948466,NA,8.054,Target Compound,467084635,Cal Std,STD13(10ng/L),287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,2030814,NA,9.462000000000002,Target Compound,78948991,Unknown,LUQ02_spike_10ng/L,287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,3891734,NA,10.19,Target Compound,128735436,Unknown,AGG21_spike_10 ng/L,287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,5824141,NA,35.029,Target Compound,31671024,Unknown,BLG09_spike_100 ng/L,287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,46286444,NA,78.94500000000001,Target Compound,101598074,Unknown,NTG38_spike_100 ng/L,287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,103254646,NA,97.699,Target Compound,180639354,Unknown,VDG20_spike_100_ng/L,287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,79271428,NA,80.99900000000001,Target Compound,169279221,Unknown,BEG115_Ewigkeitsprobe_spiked_frozen,287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,80625257,NA,87.27799999999999,Target Compound,158982732,Unknown,BEG115_ Ewigkeitsprobe_ freshly_spiked,287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,5224693,5,7.085,Target Compound,474009290,Cal Std,STD_17_ (5_ng/L),287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,12499346,10,9.542,Target Compound,476734753,Cal Std,STD_18_(10_ng/L),287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,30056730,25,15.254,Target Compound,488241018,Cal Std,STD_19_(25_ng/L),287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,55522894,50,26.675,Target Compound,419949380,Cal Std,STD_20_(50_ng/L),287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,170162944,100,75.369,Target Compound,392569403,Cal Std,STD_21_(100_ng/L),287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,341117037,250,186.812,Target Compound,303781969,Cal Std,STD_22_(250_ng/L),287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,732324047,500,396.323,Target Compound,302733114,Cal Std,STD_23_(500_ng/L),287.131,286.799,159.68276057730355
1-[(4-Chlorophenyl)phenylmethyl]piperazine_3383_p,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,16.8,1733770161,1000,1024.99,Target Compound,274840139,Cal Std,STD_24_(1000_ng/L),287.131,286.799,159.68276057730355
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,843898,NA,0.056,Target Compound,849313519,Matrix Blank,Blind1a,115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,7901216,0.5,0.552,Target Compound,805663785,Cal Std,STD2(0.5ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,15057142,1,0.933,Target Compound,908703740,Cal Std,STD3(1ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,73048469,5,5.172,Target Compound,795490060,Cal Std,STD4(5ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,155415407,10,10.049,Target Compound,871036045,Cal Std,STD5(10ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,338503008,25,24.901999999999997,Target Compound,765591147,Cal Std,STD6(25ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,628287613,50,49.712,Target Compound,711824679,Cal Std,STD7(50ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,1132977593,100,92.863,Target Compound,687152110,Cal Std,STD8(100ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,2137699787,250,258.685,Target Compound,465425995,Cal Std,STD9(250ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,NA,500,497.98299999999995,Target Compound,424372928,Cal Std,STD10(500ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,NA,1000,933.8059999999999,Target Compound,332656790,Cal Std,STD11(1000ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,829218,NA,0.064,Target Compound,726704273,Matrix Blank,Blind2a,115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,655140,NA,0.07200000000000001,Target Compound,514583625,Matrix Blank,Blind2b,115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,132638634,NA,10.167,Target Compound,734788623,Cal Std,STD12(10ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,2397909,NA,0.363,Target Compound,371935391,Matrix Blank,Blind3a,115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,523056,NA,0.322,Target Compound,91461296,Matrix Blank,Blind3b,115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,135306701,NA,11.769,Target Compound,647504562,Cal Std,STD13(10ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,17438308,NA,6.813999999999999,Target Compound,144142629,Unknown,LUQ02_spike_10ng/L,115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,42258339,NA,10.726999999999999,Target Compound,221885340,Unknown,AGG21_spike_10 ng/L,115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,30279825,NA,7.8,Target Compound,218640997,Unknown,GEQ01_spike_10 ng/L,115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,48254368,NA,83.44100000000002,Target Compound,32570950,Unknown,BLG09_spike_100 ng/L,115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,237423831,NA,91.142,Target Compound,146716738,Unknown,NTG38_spike_100 ng/L,115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,185384722,NA,77.324,Target Compound,135031058,Unknown,VDG20_spike_100_ng/L,115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,347397518,NA,113.735,Target Compound,172031001,Unknown,BEG115_Ewigkeitsprobe_spiked_frozen,115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,321761627,NA,87.408,Target Compound,207328825,Unknown,BEG115_ Ewigkeitsprobe_ freshly_spiked,115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,3735258,NA,0.491,Target Compound,428836404,Matrix Blank,Blind_4a_(nanopur_fresh),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,1868731,NA,0.194,Target Compound,541575679,Matrix Blank,Blind_4b_(nanopur_fresh),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,775032,NA,0.06899999999999999,Target Compound,628381528,Matrix Blank,Blind_4c_(nanopur_fresh),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,5746426,0.5,0.644,Target Compound,502445362,Cal Std,STD_15_(0.5_ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,14913874,1,1.3940000000000001,Target Compound,602620217,Cal Std,STD_16_(1_ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,68816908,5,6.92,Target Compound,560071583,Cal Std,STD_17_ (5_ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,147050672,10,12.765,Target Compound,648836194,Cal Std,STD_18_(10_ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,313892375,25,30.68,Target Compound,576230013,Cal Std,STD_19_(25_ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,542049135,50,60.399,Target Compound,505455747,Cal Std,STD_20_(50_ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,952719856,100,106.561,Target Compound,503551567,Cal Std,STD_21_(100_ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,1893565535,250,290.448,Target Compound,367187321,Cal Std,STD_22_(250_ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,NA,500,504.34700000000004,Target Compound,358677357,Cal Std,STD_23_(500_ng/L),115.0866,114.146,106.57601631579001
1-3-Dimethyl-2-imidazolidinon_3148_p,CN1CCN(C1=O)C,10.45,NA,1000,994.1840000000001,Target Compound,300462741,Cal Std,STD_24_(1000_ng/L),115.0866,114.146,106.57601631579001
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,10913141,1,0.8260000000000001,Target Compound,405637657,Cal Std,STD3(1ng/L),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,56255505,5,4.906000000000001,Target Compound,351825310,Cal Std,STD4(5ng/L),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,156760392,10,11.795,Target Compound,407794792,Cal Std,STD5(10ng/L),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,270963164,25,20.91,Target Compound,397624892,Cal Std,STD6(25ng/L),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,495070732,50,40.097,Target Compound,378842754,Cal Std,STD7(50ng/L),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,886530163,100,71.189,Target Compound,382112179,Cal Std,STD8(100ng/L),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,1618911990,250,155.27299999999997,Target Compound,319914911,Cal Std,STD9(250ng/L),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,NA,500,279.759,Target Compound,299559574,Cal Std,STD10(500ng/L),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,NA,1000,605.3629999999999,Target Compound,239496161,Cal Std,STD11(1000ng/L),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,138014807,NA,11.053,Target Compound,383143384,Cal Std,STD12(10ng/L),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,2744604,NA,0.28800000000000003,Target Compound,292858624,Matrix Blank,Blind3a,134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,5919647,NA,1.789,Target Compound,101543705,Unknown,VDG36,134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,153495490,NA,13.1,Target Compound,359539879,Cal Std,STD13(10ng/L),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,8050994,NA,3.731,Target Compound,66209317,Unknown,LUQ02_spike_10ng/L,134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,31398518,NA,9.752,Target Compound,98790163,Unknown,AGG21_spike_10 ng/L,134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,17985908,NA,8.741999999999999,Target Compound,63132027,Unknown,GEQ01_spike_10 ng/L,134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,28180076,NA,56.748000000000005,Target Compound,15236961,Unknown,BLG09_spike_100 ng/L,134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,174425650,NA,74.151,Target Compound,72177471,Unknown,NTG38_spike_100 ng/L,134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,111895710,NA,70.70100000000001,Target Compound,48561663,Unknown,VDG20_spike_100_ng/L,134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,221725953,NA,104.729,Target Compound,64961518,Unknown,BEG115_Ewigkeitsprobe_spiked_frozen,134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,188587000,NA,67.49700000000001,Target Compound,85730690,Unknown,BEG115_ Ewigkeitsprobe_ freshly_spiked,134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,3770189,NA,0.442,Target Compound,262001967,Matrix Blank,Blind_4a_(nanopur_fresh),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,1970336,NA,0.182,Target Compound,332867199,Matrix Blank,Blind_4b_(nanopur_fresh),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,14850626,1,1.4109999999999998,Target Compound,323046066,Cal Std,STD_16_(1_ng/L),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,73796670,5,7.422,Target Compound,305076277,Cal Std,STD_17_ (5_ng/L),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,165047019,10,14.499,Target Compound,349290163,Cal Std,STD_18_(10_ng/L),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,340825845,25,30.174000000000003,Target Compound,346579735,Cal Std,STD_19_(25_ng/L),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,626285424,50,69.051,Target Compound,278298929,Cal Std,STD_20_(50_ng/L),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,1078463570,100,109.721,Target Compound,301596053,Cal Std,STD_21_(100_ng/L),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,2106049992,250,229.69899999999998,Target Compound,281331416,Cal Std,STD_22_(250_ng/L),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,NA,500,354.556,Target Compound,267459745,Cal Std,STD_23_(500_ng/L),134.0713,133.151,108.91265716118838
1-Methyl-Benzotriazol_2798_p,c12c(cccc2)nnn1C,14,NA,1000,664.737,Target Compound,209939119,Cal Std,STD_24_(1000_ng/L),134.0713,133.151,108.91265716118838
2 -2 -Difluorodeoxyuridin_2649_p,O[C@@H](C(F)(F)[C@H](N(C=C1)C(NC1=O)=O)O2)[C@H]2CO,9.7,438844,1,1.2429999999999999,Target Compound,38061811,Cal Std,STD3(1ng/L),265.0631,264.183,112.3189339930401
2 -2 -Difluorodeoxyuridin_2649_p,O[C@@H](C(F)(F)[C@H](N(C=C1)C(NC1=O)=O)O2)[C@H]2CO,9.7,2475552,5,4.711,Target Compound,35077716,Cal Std,STD4(5ng/L),265.0631,264.183,112.3189339930401
2 -2 -Difluorodeoxyuridin_2649_p,O[C@@H](C(F)(F)[C@H](N(C=C1)C(NC1=O)=O)O2)[C@H]2CO,9.7,5483269,10,8.532,Target Compound,40433604,Cal Std,STD5(10ng/L),265.0631,264.183,112.3189339930401
